"OBS_DATE,TRUCK_D11,TSI_Freight,TSI_Total,IND_PRO,MANUF,INV_TO_SALES"
"11/01/2010,82.9,107.7,109.8,100.193445,121.08737864,1.38"
"12/01/2010,84.0,109.1,110.3,101.19139414,123.8340948,1.38"
"01/01/2011,85.3,110.4,111.5,100.97223456,126.5262707,1.37"
"02/01/2011,84.8,109.8,110.9,100.55662064,126.5117076,1.36"
"03/01/2011,86.9,111.3,112.1,101.59879093,130.63934894,1.36"
"04/01/2011,86.1,110.7,111.6,101.26221285,130.45859509,1.35"
"05/01/2011,84.8,108.9,110.8,101.38676728,130.00799543,1.36"
"06/01/2011,86.4,110.7,111.9,101.68626014,130.79697316,1.35"
"07/01/2011,85.6,110.5,111.9,102.16901669,131.66105083,1.35"
"08/01/2011,86.6,111.1,111.6,102.81946761,131.90805254,1.36"
"09/01/2011,87.3,111.6,112.6,102.74053989,131.52712736,1.35"
"10/01/2011,87.5,111.9,113.0,103.45921464,132.4603084,1.34"
"11/01/2011,88.2,112.2,113.3,103.44699706,133.35494003,1.35"
"12/01/2011,91.7,115.2,115.4,103.99094962,133.64477441,1.35"
"01/01/2012,87.7,111.6,112.9,104.61653291,135.51599086,1.34"
"02/01/2012,88.2,112.1,113.6,104.94813746,136.46230725,1.34"
"03/01/2012,89.2,112.1,113.3,104.40180626,136.16504854,1.34"
"04/01/2012,88.6,112.3,113.3,105.14794353,135.57310109,1.36"
"05/01/2012,88.5,113.1,113.8,105.37337408,135.73615077,1.38"
"06/01/2012,89.5,114.0,114.3,105.39207886,132.83523701,1.4"
"07/01/2012,89.6,113.6,114.1,105.60248071,133.31496288,1.41"
"08/01/2012,89.0,113.0,113.8,105.17216245,134.33837807,1.39"
"09/01/2012,88.5,112.3,113.4,105.11626432,135.64591662,1.39"
"10/01/2012,87.0,110.6,111.7,105.45078812,136.00542547,1.39"
"11/01/2012,88.6,112.3,113.3,105.85872551,136.74100514,1.39"
"12/01/2012,89.3,112.3,113.7,106.16146197,136.91547687,1.39"
"01/01/2013,91.9,114.5,115.5,106.14546019,137.93917761,1.4"
"02/01/2013,92.9,116.1,116.8,106.65340873,140.09080525,1.39"
"03/01/2013,92.7,116.0,115.9,107.08978173,137.48486579,1.4"
"04/01/2013,93.1,115.1,115.9,106.97895855,136.69017704,1.41"
"05/01/2013,94.6,116.2,116.3,107.08037527,138.18732153,1.4"
"06/01/2013,94.2,116.6,117.0,107.27910014,137.11022273,1.41"
"07/01/2013,94.4,116.3,116.6,106.92943952,137.46858938,1.4"
"08/01/2013,94.7,116.8,117.0,107.5684297,138.46116505,1.41"
"09/01/2013,95.4,116.8,117.0,108.14287215,138.28812107,1.42"
"10/01/2013,94.7,116.7,117.0,108.0160472,139.00399772,1.43"
"11/01/2013,97.2,119.1,119.1,108.29121302,140.72929754,1.45"
"12/01/2013,95.7,117.8,117.7,108.52453634,139.36950314,1.45"
"01/01/2014,93.1,116.3,116.8,108.10924678,139.25385494,1.46"
"02/01/2014,95.5,118.3,118.4,108.92793268,141.25556825,1.44"
"03/01/2014,96.1,120.1,120.1,110.00524203,140.84837236,1.43"
"04/01/2014,96.8,120.7,120.4,110.09584673,141.34323244,1.42"
"05/01/2014,97.2,121.2,120.9,110.54119369,140.77869789,1.42"
"06/01/2014,97.0,119.9,119.7,110.9068561,140.95345517,1.42"
"07/01/2014,97.4,120.6,120.4,111.14255806,142.2301542,1.43"
"08/01/2014,98.4,120.9,120.6,110.96610595,141.56653341,1.43"
"09/01/2014,99.0,122.1,121.5,111.30073787,140.83066819,1.43"
"10/01/2014,99.3,122.8,121.8,111.32171318,139.42432895,1.43"
"11/01/2014,100.0,123.4,122.3,112.01011428,137.17361508,1.43"
"12/01/2014,99.5,123.3,122.6,112.02881907,136.09680183,1.45"
"01/01/2015,99.2,123.1,122.1,111.13920634,132.06139349,1.45"
"02/01/2015,98.6,122.2,121.5,110.4302624,132.69503141,1.46"
"03/01/2015,101.1,123.1,122.6,110.05216618,133.80696745,1.44"
"04/01/2015,98.5,122.1,121.9,109.44517956,133.83066819,1.45"
"05/01/2015,99.4,122.2,121.9,108.9499892,132.65619646,1.44"
"06/01/2015,99.4,121.8,122.0,108.61622224,133.57424329,1.45"
"07/01/2015,100.2,122.9,123.3,109.29791989,133.0765277,1.44"
"08/01/2015,100.9,123.4,123.3,109.11108825,131.79126214,1.45"
"09/01/2015,100.9,123.6,123.5,108.80456757,131.12992576,1.47"
"10/01/2015,100.7,123.1,123.5,108.28915874,129.83837807,1.49"
"11/01/2015,99.7,121.2,122.0,107.5110179,129.19731582,1.48"
"12/01/2015,101.1,120.8,122.2,106.98176968,126.60022844,1.48"
"01/01/2016,102.7,122.6,123.0,107.5137209,126.34808681,1.5"
"02/01/2016,101.5,121.9,122.8,106.95592896,126.16561965,1.49"
"03/01/2016,101.7,120.9,121.7,106.13454005,126.4743004,1.51"
"04/01/2016,103.2,123.3,123.6,106.47403738,127.2687036,1.5"
"05/01/2016,102.0,122.5,123.2,106.23336188,126.99657339,1.5"
"06/01/2016,102.2,123.4,124.0,106.7486626,127.88834951,1.49"
"07/01/2016,104.8,125.7,125.1,106.87159523,126.95145631,1.5"
"08/01/2016,101.4,123.8,123.8,106.76077206,127.3201028,1.5"
"09/01/2016,100.2,122.5,123.4,106.66616691,127.90205597,1.49"
"10/01/2016,101.6,123.4,123.6,106.74022923,127.76070817,1.49"
"11/01/2016,102.4,123.6,124.2,106.33002131,127.47601371,1.5"
"12/01/2016,103.2,124.8,125.1,107.08286203,130.20045688,1.48"
"01/01/2017,103.0,124.3,125.2,106.8398079,130.48143918,1.47"
"02/01/2017,104.1,125.1,125.3,106.42873503,130.58052541,1.48"
"03/01/2017,103.0,125.4,125.5,107.09216037,130.53026842,1.49"
"04/01/2017,104.4,125.8,126.2,108.16514491,130.43260994,1.48"
"05/01/2017,104.7,126.4,126.6,108.25856073,131.24271845,1.49"
"06/01/2017,103.6,126.3,126.3,108.48453188,130.56196459,1.49"
"07/01/2017,107.3,128.8,128.3,108.21369086,130.75042833,1.49"
"08/01/2017,108.3,129.5,128.7,107.72260906,132.17704169,1.5"
"09/01/2017,109.0,129.4,127.6,107.84792034,132.84323244,1.45"
"10/01/2017,109.4,130.6,129.6,109.18979973,133.93203883,1.46"
"11/01/2017,110.2,132.2,131.0,109.47091216,136.4882924,1.44"
"12/01/2017,112.0,133.9,131.8,109.72802192,136.46887493,1.44"
"01/01/2018,109.0,131.8,130.6,109.72596764,137.49486008,1.45"
"02/01/2018,111.8,134.3,132.9,109.99270009,138.03483724,1.45"
"03/01/2018,112.2,135.8,133.6,110.49264774,138.30354083,1.45"
"04/01/2018,111.6,135.8,133.8,111.74770664,139.28012564,1.45"
"05/01/2018,113.0,136.7,134.5,110.69450809,140.68246716,1.44"
"06/01/2018,114.0,137.4,135.2,111.60769102,141.02798401,1.45"
"07/01/2018,113.5,136.2,134.4,111.74878784,140.74842947,1.45"
"08/01/2018,114.1,136.8,134.8,112.50822389,141.80611079,1.46"
"09/01/2018,115.2,138.6,135.3,112.55720233,142.33723587,1.46"
"10/01/2018,116.1,139.7,137.1,112.36896512,142.11050828,1.46"
"11/01/2018,117.1,139.7,136.7,112.45859673,140.4731582,1.45"
"12/01/2018,115.1,137.8,135.8,112.49373579,139.30753855,1.5"
"01/01/2019,115.4,138.0,135.7,111.75278828,138.90405483,1.5"
"02/01/2019,116.0,137.0,135.4,111.17466975,139.63192461,1.5"
"03/01/2019,116.0,137.1,136.4,111.18656297,139.13677898,1.47"
"04/01/2019,116.9,138.3,136.7,110.57968447,139.04825814,1.47"
